Bulan,Claim_Frequency,Claim_Severity,Total_Claim,pct_age_60plus,avg_age,pct_male,pct_cancer,pct_cardio,pct_renal,pct_overseas,pct_singapore,pct_inpatient,pct_plan_m002,median_nominal,std_nominal,pct_outlier,unique_polis,avg_claims_per_polis,Avg_Kurs_MYR,Avg_Kurs_SGD,MYR_change_pct,SGD_change_pct,log_Severity,log_Total
2024-01-01,296,67526085.24051738,19987721231.193146,0.49324324324324326,59.141891891891895,0.5337837837837838,0.19932432432432431,0.12162162162162163,0.11824324324324324,0.3108108108108108,0.20608108108108109,0.7195945945945946,0.6317567567567568,15228376.0,150210674.17924818,0.13851351351351351,174,1.7011494252873562,3322.58,11684.268260869565,0.0,0.0,18.028024544007717,23.718383983572714
2024-02-01,208,66632910.865882166,13859645460.10349,0.47596153846153844,58.22596153846154,0.5721153846153846,0.1971153846153846,0.09134615384615384,0.13942307692307693,0.3269230769230769,0.24519230769230768,0.6730769230769231,0.6875,17459993.0,159239073.14336604,0.13942307692307693,120,1.7333333333333334,3278.814285714286,11628.560952380953,-1.317220782816786,-0.4767719059924014,18.01470918560816,23.35224725037403
2024-03-01,278,51479345.6559332,14311258092.34943,0.4748201438848921,57.410071942446045,0.45323741007194246,0.20503597122302158,0.09712230215827339,0.11870503597122302,0.3381294964028777,0.21942446043165467,0.7050359712230215,0.60431654676259,18487913.5,96677383.35040331,0.1079136690647482,174,1.5977011494252873,3327.0476190476193,11708.249047619049,1.4710602409988338,0.6852790776470163,17.756691249390478,23.384312343725725
2024-04-01,236,48463787.19724576,11437453778.55,0.3771186440677966,56.440677966101696,0.5,0.211864406779661,0.07203389830508475,0.11864406779661017,0.3093220338983051,0.22033898305084745,0.6779661016949152,0.7288135593220338,8841569.0,105356246.43603015,0.11016949152542373,138,1.710144927536232,3363.0227272727275,11814.276363636365,1.0812922550055504,0.9055779014102594,17.696327441928567,23.160159226407647
2024-05-01,262,46543193.20828244,12194316620.57,0.40458015267175573,56.7557251908397,0.5038167938931297,0.2099236641221374,0.08396946564885496,0.1297709923664122,0.2862595419847328,0.17938931297709923,0.6221374045801527,0.6030534351145038,12175837.5,121635138.22288057,0.07251908396946564,152,1.7236842105263157,3404.1991304347825,11888.559130434782,1.2243867050951263,0.6287542673968138,17.655891347094812,23.224235829452493
2024-06-01,223,54361736.23331839,12122667180.03,0.515695067264574,59.7219730941704,0.4618834080717489,0.2242152466367713,0.053811659192825115,0.15695067264573992,0.3004484304932735,0.23318385650224216,0.47533632286995514,0.6143497757847534,19284000.0,88993349.28973398,0.13452914798206278,130,1.7153846153846153,3465.387,12077.564,1.797423335731918,1.5898046810514321,17.811171104671054,23.21834285781837
2024-07-01,255,58688300.90098039,14965516729.75,0.4823529411764706,57.909803921568624,0.4980392156862745,0.20392156862745098,0.10980392156862745,0.1607843137254902,0.3411764705882353,0.23137254901960785,0.4392156862745098,0.7058823529411765,14228816.4,149669988.33306324,0.09019607843137255,142,1.795774647887324,3469.0099999999998,12060.71043478261,0.1045482077470572,-0.1395444082713193,17.887750978753875,23.42901450693995
2024-08-01,228,59267262.543464914,13512935859.91,0.5219298245614035,59.333333333333336,0.5570175438596491,0.17543859649122806,0.09649122807017543,0.20614035087719298,0.2807017543859649,0.17105263157894737,0.4166666666666667,0.6447368421052632,14453162.0,153772977.6597218,0.10526315789473684,138,1.6521739130434783,3561.3618181818183,11959.220454545453,2.662195213672436,-0.8414925537426288,17.89756766336235,23.32691327551807
2024-09-01,208,58962110.90201923,12264119067.62,0.5384615384615384,59.51923076923077,0.6105769230769231,0.1875,0.07211538461538461,0.16346153846153846,0.3076923076923077,0.20673076923076922,0.42788461538461536,0.6442307692307693,13943681.5,156185449.91748807,0.10576923076923077,121,1.71900826446281,3591.3380952380953,11816.78238095238,0.8417082730330705,-1.1910314232809083,17.892405624437565,23.22994368726038
2024-10-01,274,46281627.23978102,12681165863.7,0.5291970802919708,59.86861313868613,0.5,0.21532846715328466,0.072992700729927,0.11313868613138686,0.3686131386861314,0.22992700729927007,0.3905109489051095,0.6313868613138686,14416438.440000001,84655641.23537436,0.10218978102189781,158,1.7341772151898733,3615.897391304348,11867.351739130436,0.6838480648429179,0.42794524387255173,17.650255642034328,23.263383726894407
2024-11-01,270,50863183.249703705,13733059477.42,0.4740740740740741,58.737037037037034,0.4074074074074074,0.2740740740740741,0.07407407407407407,0.14074074074074075,0.3888888888888889,0.2962962962962963,0.3592592592592593,0.6074074074074074,14014193.0,110327629.32348022,0.1037037037037037,147,1.836734693877551,3563.2338095238097,11827.008095238094,-1.4564456919376578,-0.3399549013055392,17.744649924132606,23.343071863543212
2024-12-01,238,50478607.999327734,12013908703.84,0.5168067226890757,59.2436974789916,0.48739495798319327,0.21428571428571427,0.03361344537815126,0.1722689075630252,0.31932773109243695,0.18067226890756302,0.37815126050420167,0.592436974789916,13335376.55,146832208.2523827,0.058823529411764705,133,1.7894736842105263,3592.2172727272728,11861.29909090909,0.8134033507988248,0.2899380417673125,17.737060220336744,23.209330874281083
2025-01-01,216,44492498.51180555,9610379678.55,0.5092592592592593,58.129629629629626,0.5138888888888888,0.19907407407407407,0.0787037037037037,0.19444444444444445,0.2824074074074074,0.18518518518518517,0.4675925925925926,0.7129629629629629,15140920.344999999,89647253.07943292,0.06944444444444445,132,1.6363636363636365,3632.8778260869567,11924.817826086957,1.1319068495212026,0.5355124652960619,17.610831182633767,22.986109567946286
2025-02-01,246,71059107.20272358,17480540371.87,0.540650406504065,60.390243902439025,0.47560975609756095,0.1991869918699187,0.1016260162601626,0.13821138211382114,0.34146341463414637,0.26422764227642276,0.4349593495934959,0.6544715447154471,14966311.5,203451892.28709328,0.11788617886178862,145,1.696551724137931,3675.175,12134.9405,1.164288366906141,1.7620619197500353,18.07902259855895,23.584354120475727
2025-03-01,230,59474961.28143478,13679241094.73,0.48695652173913045,58.55652173913043,0.4652173913043478,0.21739130434782608,0.05217391304347826,0.21304347826086956,0.4,0.2608695652173913,0.3652173913043478,0.6521739130434783,13629545.0,148244206.99236938,0.12173913043478261,126,1.8253968253968254,3706.9142857142856,12312.22380952381,0.8636129086175615,1.460932664019321,17.90106597996116,23.33914527214366
