Bulan,claim_count,repeat_claim_share_hist,chronic_claim_share,repeat_and_chronic_share,singapore_share,malaysia_share,country_cost_idx,repeat_country_cost_idx,repeat_claim_share_hist_lag1,chronic_claim_share_lag1,repeat_and_chronic_share_lag1,singapore_share_lag1,malaysia_share_lag1,country_cost_idx_lag1,repeat_country_cost_idx_lag1
2024-01-01,300,0.0,0.55,0.0,0.20666666666666667,0.07666666666666666,2.7842867364025414,1.0,,,,,,,
2024-02-01,208,0.40384615384615385,0.5769230769230769,0.3269230769230769,0.24519230769230768,0.0625,3.5756648042501826,3.006981147387305,0.0,0.55,0.0,0.20666666666666667,0.07666666666666666,2.7842867364025414,1.0
2024-03-01,278,0.32014388489208634,0.6187050359712231,0.27697841726618705,0.21942446043165467,0.10071942446043165,1.986859107619055,1.91361742713622,0.40384615384615385,0.5769230769230769,0.3269230769230769,0.24519230769230768,0.0625,3.5756648042501826,3.006981147387305
2024-04-01,236,0.4830508474576271,0.6610169491525424,0.4152542372881356,0.22033898305084745,0.06779661016949153,2.295727921105881,2.8426624423849454,0.32014388489208634,0.6187050359712231,0.27697841726618705,0.21942446043165467,0.10071942446043165,1.986859107619055,1.91361742713622
2024-05-01,262,0.3816793893129771,0.6335877862595419,0.3473282442748092,0.17938931297709923,0.08778625954198473,2.0543787123709927,3.062165347557571,0.4830508474576271,0.6610169491525424,0.4152542372881356,0.22033898305084745,0.06779661016949153,2.295727921105881,2.8426624423849454
2024-06-01,223,0.515695067264574,0.672645739910314,0.45739910313901344,0.23318385650224216,0.04932735426008968,2.7042658752392623,3.2168897449722396,0.3816793893129771,0.6335877862595419,0.3473282442748092,0.17938931297709923,0.08778625954198473,2.0543787123709927,3.062165347557571
2024-07-01,255,0.42745098039215684,0.6470588235294118,0.3686274509803922,0.23137254901960785,0.09803921568627451,2.68902151723585,2.3927418714684836,0.515695067264574,0.672645739910314,0.45739910313901344,0.23318385650224216,0.04932735426008968,2.7042658752392623,3.2168897449722396
2024-08-01,228,0.40350877192982454,0.6491228070175439,0.34210526315789475,0.17105263157894737,0.10964912280701754,2.1180291058275253,2.4745909971588413,0.42745098039215684,0.6470588235294118,0.3686274509803922,0.23137254901960785,0.09803921568627451,2.68902151723585,2.3927418714684836
2024-09-01,208,0.4182692307692308,0.6634615384615384,0.3701923076923077,0.20673076923076922,0.10096153846153846,2.4438665148857175,1.9601131327178785,0.40350877192982454,0.6491228070175439,0.34210526315789475,0.17105263157894737,0.10964912280701754,2.1180291058275253,2.4745909971588413
2024-10-01,274,0.48905109489051096,0.6459854014598541,0.3978102189781022,0.22992700729927007,0.1386861313868613,2.157743136806403,2.485045332096592,0.4182692307692308,0.6634615384615384,0.3701923076923077,0.20673076923076922,0.10096153846153846,2.4438665148857175,1.9601131327178785
2024-11-01,270,0.4925925925925926,0.6444444444444445,0.43703703703703706,0.2962962962962963,0.09259259259259259,2.138795847736996,2.739847385333083,0.48905109489051096,0.6459854014598541,0.3978102189781022,0.22992700729927007,0.1386861313868613,2.157743136806403,2.485045332096592
2024-12-01,238,0.5126050420168067,0.6638655462184874,0.4579831932773109,0.18067226890756302,0.12605042016806722,2.4345840061922277,1.8498682094463594,0.4925925925925926,0.6444444444444445,0.43703703703703706,0.2962962962962963,0.09259259259259259,2.138795847736996,2.739847385333083
2025-01-01,216,0.46296296296296297,0.625,0.41203703703703703,0.18518518518518517,0.08796296296296297,2.1302153140260343,2.261865517799056,0.5126050420168067,0.6638655462184874,0.4579831932773109,0.18067226890756302,0.12605042016806722,2.4345840061922277,1.8498682094463594
2025-02-01,246,0.5,0.6178861788617886,0.43089430894308944,0.26422764227642276,0.07317073170731707,2.7427680568193495,2.666654565412832,0.46296296296296297,0.625,0.41203703703703703,0.18518518518518517,0.08796296296296297,2.1302153140260343,2.261865517799056
2025-03-01,230,0.48695652173913045,0.6782608695652174,0.41304347826086957,0.2608695652173913,0.1391304347826087,3.758201137652369,3.2472529648084922,0.5,0.6178861788617886,0.43089430894308944,0.26422764227642276,0.07317073170731707,2.7427680568193495,2.666654565412832
2025-04-01,208,0.5288461538461539,0.6153846153846154,0.4519230769230769,0.21153846153846154,0.1201923076923077,3.012006690422379,3.4090060081486793,0.48695652173913045,0.6782608695652174,0.41304347826086957,0.2608695652173913,0.1391304347826087,3.758201137652369,3.2472529648084922
2025-05-01,239,0.4351464435146444,0.6192468619246861,0.3305439330543933,0.2217573221757322,0.07531380753138076,1.7781668126418742,2.2629951697057167,0.5288461538461539,0.6153846153846154,0.4519230769230769,0.21153846153846154,0.1201923076923077,3.012006690422379,3.4090060081486793
2025-06-01,234,0.5598290598290598,0.7094017094017094,0.47435897435897434,0.25213675213675213,0.10256410256410256,2.628257685661944,2.598547812032176,0.4351464435146444,0.6192468619246861,0.3305439330543933,0.2217573221757322,0.07531380753138076,1.7781668126418742,2.2629951697057167
2025-07-01,264,0.48863636363636365,0.6174242424242424,0.3939393939393939,0.16287878787878787,0.1553030303030303,1.7947533427168996,2.4511464879372946,0.5598290598290598,0.7094017094017094,0.47435897435897434,0.25213675213675213,0.10256410256410256,2.628257685661944,2.598547812032176
